"concentration","M01","M02","M03","M04","M05","M06","M07","M08","M09","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30"
0.20125,2.554,2.605,2.784,2.839,2.865,2.926,3.009,3.225,3.192,3.223,2.97,2.956,3.131,2.973,3.161,2.869,2.847,2.802,3.132,3.005,3.185,3.024,3.012,3.035,2.967,2.933,2.996,2.991,2.828,2.874
0.100625,2.098,2.059,2.191,2.292,2.361,2.295,2.43,2.464,2.536,2.657,2.504,2.583,2.542,2.401,2.765,2.297,2.194,2.32,2.584,2.524,2.612,2.492,2.484,2.448,2.191,2.42,2.432,2.49,2.323,2.402
0.0503125,1.392,1.409,1.477,1.444,1.717,1.478,1.697,1.72,1.706,1.794,1.842,1.965,1.838,1.667,1.942,1.571,1.563,1.618,1.8,1.858,1.918,1.762,1.84,1.869,1.684,1.537,1.803,1.737,1.709,1.655
0.02515625,0.833,0.843,0.939,0.943,0.905,0.893,1.045,1.052,1.07,1.107,1.085,1.255,1.067,1.057,1.297,0.997,1.008,0.949,1.152,1.143,1.099,1.113,1.212,1.145,1.037,0.899,1.017,0.996,0.965,0.974
0.012578125,0.473,0.453,0.504,0.5,0.572,0.482,0.613,0.592,0.591,0.631,0.64,0.629,0.709,0.627,0.748,0.595,0.608,0.566,0.643,0.587,0.605,0.563,0.646,0.648,0.594,0.526,0.578,0.608,0.598,0.56
0.0062890625,0.255,0.245,0.289,0.293,0.311,0.266,0.313,0.332,0.305,0.348,0.343,0.406,0.391,0.34,0.428,0.367,0.36,0.339,0.314,0.347,0.345,0.338,0.368,0.437,0.314,0.297,0.297,0.328,0.287,0.293
0.00314453125,0.153,0.129,0.146,0.155,0.156,0.134,0.168,0.178,0.168,0.178,0.186,0.201,0.216,0.183,0.242,0.229,0.226,0.222,0.16,0.156,0.164,0.185,0.251,0.27,0.145,0.145,0.185,0.169,0.166,0.152
0.001572265625,0.071,0.066,0.079,0.081,0.088,0.074,0.095,0.092,0.085,0.094,0.092,0.111,0.105,0.102,0.121,0.158,0.159,0.166,0.084,0.08,0.099,0.111,0.179,0.199,0.091,0.082,0.086,0.092,0.083,0.078
0.0007861328125,0.04,0.035,0.039,0.045,0.044,0.039,0.048,0.054,0.044,0.058,0.049,0.051,0.071,0.061,0.081,0.125,0.122,0.127,0.049,0.047,0.048,0.061,0.133,0.157,0.041,0.045,0.055,0.052,0.042,0.043
0.00039306640625,0.026,0.021,0.026,0.027,0.033,0.023,0.029,0.028,0.026,0.03,0.027,0.029,0.043,0.037,0.049,0.106,0.106,0.111,0.026,0.026,0.031,0.038,0.108,0.135,0.026,0.027,0.034,0.032,0.025,0.025
0.000196533203125,0.02,0.017,0.021,0.021,0.018,0.018,0.022,0.019,0.018,0.022,0.019,0.02,0.034,0.028,0.039,0.099,0.098,0.104,0.02,0.019,0.023,0.029,0.1,0.125,0.018,0.018,0.024,0.03,0.018,0.022
9.82666015625e-05,0.008,0.004,0.008,0.009,0.003,0.005,0.008,0.004,0.004,0.007,0.004,0.005,0.02,0.014,0.024,0.088,0.091,0.097,0.04,0.017,0.018,0.021,0.091,0.119,0.238,0.247,0.251,0.008,0.003,0.004
